id,Created date (UTC),Amount,Amount Refunded,Currency,Captured,Converted Amount,Converted Amount Refunded,Converted Currency,Decline Reason,Description,Fee,Refunded date (UTC),Statement Descriptor,Status,Seller Message,Taxes On Fee,Card ID,Customer ID,Customer Description,Customer Email,Invoice ID,Transfer,deviceId (metadata),invoiceId (metadata),deviceName (metadata),invoiceNumber (metadata),appBundleId (metadata),locationId (metadata),osVersion (metadata),os (metadata),paymentRecordedBy (metadata),appVersion (metadata),appBuildNumber (metadata)
ch_3RtqvmB4WEOTAzAb1EbsT4Sa,2025-08-08 14:06:14,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000207,0.16,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RtqvyB4WEOTAzAbzVNIPSYW,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RukS6B4WEOTAzAbKzbdj1oD,0e40f952-7841-4faf-91b5-5b5d2ad970e1,68960447a04c113dded53ece,iPhone,000207,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.6,ios,2HZBJVUfBDHMvaKBevi4,3.98.1,743
ch_3Rj19ZB4WEOTAzAb0HvVpzDw,2025-07-09 16:47:35,1.00,0.00,usd,true,1.00,0.00,usd,,Payment for invoice 000206,0.08,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1Rj19fB4WEOTAzAbcxYW5oEP,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1Rj994B4WEOTAzAbnr6IgnZk,0e40f952-7841-4faf-91b5-5b5d2ad970e1,686e9d20356c2b23715e33c9,iPhone,000206,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,2HZBJVUfBDHMvaKBevi4,3.98.1,743
ch_3RiH3vB4WEOTAzAb1rfr8yG1,2025-07-07 15:34:39,2.00,0.00,usd,true,2.00,0.00,usd,,Payment for invoice 000200,0.10,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RiH3yB4WEOTAzAbnBG4VA1s,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RiPxdB4WEOTAzAbZB0Tpm1M,0e40f952-7841-4faf-91b5-5b5d2ad970e1,686be90a828e1b2c33f7b551,iPhone,000200,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,2HZBJVUfBDHMvaKBevi4,3.98.1,743
ch_3RgUGNB4WEOTAzAb03PGArMF,2025-07-02 17:16:07,2.00,0.00,usd,true,2.00,0.00,usd,,Payment for invoice 000199,0.10,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RgUGRB4WEOTAzAbHsHYDsbj,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RhhMoB4WEOTAzAbbmXwnZEz,0e40f952-7841-4faf-91b5-5b5d2ad970e1,6865695241503052de3131a4,iPhone,000199,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,2HZBJVUfBDHMvaKBevi4,3.98.1,743
ch_3RgU46B4WEOTAzAb0PhyHfxy,2025-07-02 17:03:38,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000197,0.16,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RgU4LB4WEOTAzAbQqyxKilZ,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RhhMoB4WEOTAzAbbmXwnZEz,0e40f952-7841-4faf-91b5-5b5d2ad970e1,6865665976c1fa9581ce7e77,iPhone,000197,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,2HZBJVUfBDHMvaKBevi4,3.98.1,743
ch_3RWewdB4WEOTAzAb1HS2qnru,2025-06-05 14:39:11,2.00,0.00,usd,true,2.00,0.00,usd,,Payment for invoice 000193,0.10,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RWewkB4WEOTAzAbNfzXdTlj,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RXXewB4WEOTAzAbgdpzSu2i,0e40f952-7841-4faf-91b5-5b5d2ad970e1,6841ac0651dc5443b9057eaa,iPhone,000193,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,2HZBJVUfBDHMvaKBevi4,3.98.1,743
ch_3RWevOB4WEOTAzAb18gFKGSv,2025-06-05 14:37:53,2.00,0.00,usd,true,2.00,0.00,usd,,Payment for invoice 000192,0.10,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RWevVB4WEOTAzAbml0a8Yno,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RXXewB4WEOTAzAbgdpzSu2i,0e40f952-7841-4faf-91b5-5b5d2ad970e1,6841abb90613ccc9aee3fd0b,iPhone,000192,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,2HZBJVUfBDHMvaKBevi4,3.98.1,743
ch_3RWetAB4WEOTAzAb0NkiwJLd,2025-06-05 14:35:44,2.00,0.00,usd,true,2.00,0.00,usd,,Payment for invoice 000191,0.10,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RWetQB4WEOTAzAbdTWFxPMZ,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RXXewB4WEOTAzAbgdpzSu2i,0e40f952-7841-4faf-91b5-5b5d2ad970e1,6841ab30d55adb62d4c253a4,iPhone,000191,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,2HZBJVUfBDHMvaKBevi4,3.98.1,743
ch_3RWesdB4WEOTAzAb1ts0gwaM,2025-06-05 14:35:00,2.50,0.00,usd,true,2.50,0.00,usd,,Payment for invoice 000190,0.12,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RWesiB4WEOTAzAb0zFaCXJU,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RXXewB4WEOTAzAbgdpzSu2i,0e40f952-7841-4faf-91b5-5b5d2ad970e1,6841ab0e72608ec4f57e42fa,iPhone,000190,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,2HZBJVUfBDHMvaKBevi4,3.98.1,743
ch_3RWermB4WEOTAzAb130N05wz,2025-06-05 14:34:06,1.00,0.00,usd,true,1.00,0.00,usd,,Payment for invoice 000189,0.08,,ADVANCED TECH CENTER,Paid,Payment complete.,0.00,card_1RWerqB4WEOTAzAbRhMkOV9U,cus_SIwsiRUiRtZHWs,,auto.generated@pos.payment,,po_1RXXewB4WEOTAzAbgdpzSu2i,0e40f952-7841-4faf-91b5-5b5d2ad970e1,6841aad9d55adb11d4c2538b,iPhone,000189,com.gohighlevel.reviews,Zksj53iga8hYgcS6RbXd,18.5,ios,2HZBJVUfBDHMvaKBevi4,3.98.1,743
