id,Created date (UTC),Amount,Amount Refunded,Currency,Captured,Converted Amount,Converted Amount Refunded,Converted Currency,Decline Reason,Description,Fee,Refunded date (UTC),Statement Descriptor,Status,Seller Message,Taxes On Fee,Card ID,Customer ID,Customer Description,Customer Email,Invoice ID,Transfer,deviceName (metadata),locationId (metadata),deviceId (metadata),appBundleId (metadata),appVersion (metadata),appBuildNumber (metadata),osVersion (metadata),paymentRecordedBy (metadata),os (metadata),invoiceId (metadata),invoiceNumber (metadata)
ch_3RPOExADru8LAtyC1Z1XSFyz,2025-05-16 13:24:10,2.00,0.00,usd,true,2.00,0.00,usd,,Payment for invoice 000344,0.10,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RPOFCADru8LAtyCba9Cv2eF,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RQI7aADru8LAtyCZonDfXHm,iPhone,DBM3y5pTClpRimE1VAVS,a93ebf99-43fb-4095-bb18-9385571dc012,com.gohighlevel.reviews,3.97.3,740,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,68273c6a91ca593983b1d030,000344
ch_3RPO6DADru8LAtyC0JMmkQwl,2025-05-16 13:14:56,1.00,0.00,usd,true,1.00,0.00,usd,,Payment for invoice 000342,0.08,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RPO6GADru8LAtyC1us52WmI,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RQI7aADru8LAtyCZonDfXHm,iPhone,DBM3y5pTClpRimE1VAVS,a93ebf99-43fb-4095-bb18-9385571dc012,com.gohighlevel.reviews,3.97.3,740,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,68273a4c91ca59c584b1cfe6,000342
ch_3RPO4rADru8LAtyC0tMrI96t,2025-05-16 13:13:34,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000341,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RPO4wADru8LAtyCPm2hqztQ,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RQI7aADru8LAtyCZonDfXHm,iPhone,DBM3y5pTClpRimE1VAVS,a93ebf99-43fb-4095-bb18-9385571dc012,com.gohighlevel.reviews,3.97.3,740,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,682739f8974a863d258676c1,000341
ch_3RP6dZADru8LAtyC0IlGqO5c,2025-05-15 18:36:14,2.00,0.00,usd,true,2.00,0.00,usd,,Payment for invoice 000338,0.10,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RP6deADru8LAtyCeb5X8bd8,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RPvj7ADru8LAtyCyfepNErh,iPhone,DBM3y5pTClpRimE1VAVS,a93ebf99-43fb-4095-bb18-9385571dc012,com.gohighlevel.reviews,3.97.3,740,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,6826341891ca596efcb17f90,000338
ch_3RP5XlADru8LAtyC0fPade1x,2025-05-15 17:26:17,1.00,0.00,usd,true,1.00,0.00,usd,,Payment for invoice 000335,0.08,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RP5XxADru8LAtyC0BxTdzvP,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RPvj7ADru8LAtyCyfepNErh,iPhone,DBM3y5pTClpRimE1VAVS,a93ebf99-43fb-4095-bb18-9385571dc012,com.gohighlevel.reviews,3.97.3,740,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,682623ac0b35857b95d6b192,000335
ch_3RP1RgADru8LAtyC18Jmx7Xb,2025-05-15 13:03:37,2.00,0.00,usd,true,2.00,0.00,usd,,Payment for invoice 000333,0.10,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RP1RlADru8LAtyC5Lpscv4u,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RPvj7ADru8LAtyCyfepNErh,iPhone,DBM3y5pTClpRimE1VAVS,a93ebf99-43fb-4095-bb18-9385571dc012,com.gohighlevel.reviews,3.97.3,740,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,6825e62390719374b06cdb4a,000333
ch_3RP1QdADru8LAtyC0py5tsvp,2025-05-15 13:02:31,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000332,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RP1QhADru8LAtyClE4MRbOj,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RPvj7ADru8LAtyCyfepNErh,iPhone,DBM3y5pTClpRimE1VAVS,a93ebf99-43fb-4095-bb18-9385571dc012,com.gohighlevel.reviews,3.97.3,740,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,6825e5e296e5345ab25ea828,000332
ch_3RP1PzADru8LAtyC0elIvTF3,2025-05-15 13:02:08,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000331,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1RP1QKADru8LAtyC9hPYd7rF,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1RPvj7ADru8LAtyCyfepNErh,iPhone,DBM3y5pTClpRimE1VAVS,a93ebf99-43fb-4095-bb18-9385571dc012,com.gohighlevel.reviews,3.97.3,740,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,6825e5ba96e53461c85ea64e,000331
ch_3ROgQiADru8LAtyC1oGxsupz,2025-05-14 14:37:14,4.00,0.00,usd,true,4.00,0.00,usd,,Payment for invoice 000326,0.16,,SPARTY BOX,Paid,Payment complete.,0.00,card_1ROgQnADru8LAtyCIYi8JDrv,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1ROqGWADru8LAtyCikePXN2J,iPhone,DBM3y5pTClpRimE1VAVS,a93ebf99-43fb-4095-bb18-9385571dc012,com.gohighlevel.reviews,3.97.3,740,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,6824aa935ddb8ed580368973,000326
ch_3ROfBIADru8LAtyC0cZxRpcc,2025-05-14 13:17:21,5.00,0.00,usd,true,5.00,0.00,usd,,Payment for invoice 000325,0.19,,SPARTY BOX,Paid,Payment complete.,0.00,card_1ROfBVADru8LAtyCvYBG4UJQ,cus_RQHIjsDcqZCJK7,,auto.generated@pos.payment,,po_1ROqGWADru8LAtyCikePXN2J,iPhone,DBM3y5pTClpRimE1VAVS,a93ebf99-43fb-4095-bb18-9385571dc012,com.gohighlevel.reviews,3.97.3,740,18.3.2,eu3zPHKVX8g7tkaNLpmZ,ios,682497d35ddb8e321b36836b,000325
