id,Created date (UTC),Amount,Amount Refunded,Currency,Captured,Converted Amount,Converted Amount Refunded,Converted Currency,Decline Reason,Description,Fee,Refunded date (UTC),Statement Descriptor,Status,Seller Message,Taxes On Fee,Card ID,Customer ID,Customer Description,Customer Email,Invoice ID,Transfer,os (metadata),appVersion (metadata),deviceName (metadata),deviceId (metadata),appBuildNumber (metadata),invoiceId (metadata),osVersion (metadata),appBundleId (metadata),invoiceNumber (metadata),locationId (metadata),paymentRecordedBy (metadata)
ch_3R1x21IAPa6UZTaT0t0pKHU9,2025-03-12 21:41:54,19.11,0.00,usd,true,19.11,0.00,usd,,Payment for invoice 000016,0.57,,SOOTHING STARS,Paid,Payment complete.,0.00,card_1R1x2EIAPa6UZTaT9DfFvw1l,cus_RlLKHrHKnAwF8K,,auto.generated@pos.payment,,po_1R20KDIAPa6UZTaTzzoikGpW,ios,3.94.0,iPhone,1a2f3a70-3982-4723-9072-eef4a4979a4e,718,67d1ff8331f37f6d1e6feea5,18.1.1,com.gohighlevel.reviews,000016,IlTHeAkjxwwh5Tk23asy,wOwBjhdCWKY74mDZsb3g
ch_3QzRWFIAPa6UZTaT0TiJBTSm,2025-03-05 23:38:40,19.11,0.00,usd,true,19.11,0.00,usd,,Payment for invoice 000012,0.57,,SOOTHING STARS,Paid,Payment complete.,0.00,card_1QzRWNIAPa6UZTaTJ1Ohtkt5,cus_RlLKHrHKnAwF8K,,auto.generated@pos.payment,,po_1QzSrKIAPa6UZTaTwpV3KFSM,ios,3.92.1,iPhone,01ae02b9-e6a9-4708-b8b1-1afbd69e7e1d,709,67c8e0765f18d0a4a96e0ed2,18.3.1,com.gohighlevel.reviews,000012,IlTHeAkjxwwh5Tk23asy,qKhs632stk1WXD2TwYJk
ch_3QzRRMIAPa6UZTaT0WfazGUE,2025-03-05 23:33:38,19.11,0.00,usd,true,19.11,0.00,usd,,Payment for invoice 000011,0.57,,SOOTHING STARS,Paid,Payment complete.,0.00,card_1QzRRWIAPa6UZTaTiWAtOrdo,cus_RlLKHrHKnAwF8K,,auto.generated@pos.payment,,po_1QzSrKIAPa6UZTaTwpV3KFSM,ios,3.92.1,iPhone,01ae02b9-e6a9-4708-b8b1-1afbd69e7e1d,709,67c8df485f18d00db16e0e65,18.3.1,com.gohighlevel.reviews,000011,IlTHeAkjxwwh5Tk23asy,qKhs632stk1WXD2TwYJk
ch_3QzRK3IAPa6UZTaT0wgaTXzc,2025-03-05 23:26:26,19.11,0.00,usd,true,19.11,0.00,usd,,Payment for invoice 000010,0.57,,SOOTHING STARS,Paid,Payment complete.,0.00,card_1QzRKYIAPa6UZTaT6hcZG3h7,cus_RlLKHrHKnAwF8K,,auto.generated@pos.payment,,po_1QzSrKIAPa6UZTaTwpV3KFSM,ios,3.92.1,iPhone,01ae02b9-e6a9-4708-b8b1-1afbd69e7e1d,709,67c8dd825f18d002a86e0de8,18.3.1,com.gohighlevel.reviews,000010,IlTHeAkjxwwh5Tk23asy,qKhs632stk1WXD2TwYJk
ch_3QzQziIAPa6UZTaT0JOrzXs7,2025-03-05 23:05:02,19.11,0.00,usd,true,19.11,0.00,usd,,Payment for invoice 000009,0.57,,SOOTHING STARS,Paid,Payment complete.,0.00,card_1QzQzqIAPa6UZTaTJR6t1WEK,cus_RlLKHrHKnAwF8K,,auto.generated@pos.payment,,po_1QzSrKIAPa6UZTaTwpV3KFSM,ios,3.92.1,iPhone,01ae02b9-e6a9-4708-b8b1-1afbd69e7e1d,709,67c8d8955f18d092146e0c59,18.3.1,com.gohighlevel.reviews,000009,IlTHeAkjxwwh5Tk23asy,qKhs632stk1WXD2TwYJk
ch_3QzQmjIAPa6UZTaT0OYpxkD4,2025-03-05 22:51:59,19.11,0.00,usd,true,19.11,0.00,usd,,Payment for invoice 000008,0.57,,SOOTHING STARS,Paid,Payment complete.,0.00,card_1QzQnDIAPa6UZTaTDKcVtHh7,cus_RlLKHrHKnAwF8K,,auto.generated@pos.payment,,po_1QzSrKIAPa6UZTaTwpV3KFSM,ios,3.92.1,iPhone,01ae02b9-e6a9-4708-b8b1-1afbd69e7e1d,709,67c8d57076f197021568d0f2,18.3.1,com.gohighlevel.reviews,000008,IlTHeAkjxwwh5Tk23asy,qKhs632stk1WXD2TwYJk
ch_3QzQhWIAPa6UZTaT1Qcu0C8j,2025-03-05 22:46:14,19.11,0.00,usd,true,19.11,0.00,usd,,Payment for invoice 000007,0.57,,SOOTHING STARS,Paid,Payment complete.,0.00,card_1QzQheIAPa6UZTaTAR3eRvYy,cus_RlLKHrHKnAwF8K,,auto.generated@pos.payment,,po_1QzSrKIAPa6UZTaTwpV3KFSM,ios,3.92.1,iPhone,01ae02b9-e6a9-4708-b8b1-1afbd69e7e1d,709,67c8d42d5f18d0b8e66e0ae1,18.3.1,com.gohighlevel.reviews,000007,IlTHeAkjxwwh5Tk23asy,qKhs632stk1WXD2TwYJk
ch_3QzQg8IAPa6UZTaT14aYOyy1,2025-03-05 22:45:39,19.11,0.00,usd,true,19.11,0.00,usd,,Payment for invoice 000006,0.57,,SOOTHING STARS,Paid,Payment complete.,0.00,card_1QzQh5IAPa6UZTaTvMwRLGNr,cus_RlLKHrHKnAwF8K,,auto.generated@pos.payment,,po_1QzSrKIAPa6UZTaTwpV3KFSM,ios,3.92.1,iPhone,01ae02b9-e6a9-4708-b8b1-1afbd69e7e1d,709,67c8d3d776f197788868d083,18.3.1,com.gohighlevel.reviews,000006,IlTHeAkjxwwh5Tk23asy,qKhs632stk1WXD2TwYJk
ch_3QxBwVIAPa6UZTaT0QxOeaq4,2025-02-27 18:36:42,19.11,0.00,usd,true,19.11,0.00,usd,,Payment for invoice 000005,0.57,,SOOTHING STARS,Paid,Payment complete.,0.00,card_1QxBwrIAPa6UZTaTvbKNWwrP,cus_RlLKHrHKnAwF8K,,auto.generated@pos.payment,,po_1Qy0tqIAPa6UZTaTeeaSGdOq,ios,3.92.1,iPhone,f1c27217-451c-4c57-9a02-8789271de260,709,67c0b0a3d47b9dffc558ffda,18.3.1,com.gohighlevel.reviews,000005,IlTHeAkjxwwh5Tk23asy,iydKPI8diNnI1E2BGJL4
ch_3QuH1SIAPa6UZTaT0cJxa6EX,2025-02-19 17:25:31,19.11,0.00,usd,true,19.11,0.00,usd,,Payment for invoice 000003,0.57,,SOOTHING STARS,Paid,Payment complete.,0.00,card_1QuH1bIAPa6UZTaTivCy8ZkV,cus_RlLKHrHKnAwF8K,,auto.generated@pos.payment,,po_1QuOqIIAPa6UZTaTGtG4jx3G,ios,3.92.1,iPhone,384e0212-59ec-45b6-a03f-116c0ea16ff5,709,67b614029a00256a72f39ea1,18.3.1,com.gohighlevel.reviews,000003,IlTHeAkjxwwh5Tk23asy,RRM5mfqXgBOrn3i2oy9w
