id,Created date (UTC),Amount,Amount Refunded,Currency,Captured,Converted Amount,Converted Amount Refunded,Converted Currency,Decline Reason,Description,Fee,Refunded date (UTC),Statement Descriptor,Status,Seller Message,Taxes On Fee,Card ID,Customer ID,Customer Description,Customer Email,Invoice ID,Transfer,altType (metadata),altId (metadata),contactId (metadata),orderId (metadata),appBuildNumber (metadata),osVersion (metadata),appBundleId (metadata),deviceName (metadata),os (metadata),paymentRecordedBy (metadata),appVersion (metadata),deviceId (metadata),locationId (metadata),verifyMinimumValueToPay (metadata),invoiceId (metadata),invoiceNumber (metadata)
ch_3R4lIdDZFCHKRKiu0a9dZQ76,2025-03-20 15:47:16,9.98,0.00,usd,true,9.98,0.00,usd,,Payment for invoice 000069,0.59,,THE GENI,Paid,Payment complete.,0.00,pm_1R4lJQDZFCHKRKiulOku3Aa8,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1R5d3fDZFCHKRKiurs83sU1z,,,,,718,16.4.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.94.0,2ade90f5-25e7-4d61-8711-87cbc0c8b912,iKsPMfXHpb72ufGUuJLo,,67dc38529cb0191cee00bd88,000069
ch_3R4jQaDZFCHKRKiu3GqGwLTv,2025-03-20 13:46:59,21.24,0.00,usd,true,21.24,0.00,usd,,Payment for invoice 000068,0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1R4jR1DZFCHKRKiu4hwT1Voj,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1R5d3fDZFCHKRKiurs83sU1z,,,,,718,16.4.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.94.0,2ade90f5-25e7-4d61-8711-87cbc0c8b912,iKsPMfXHpb72ufGUuJLo,,67dc1c31b965b1538b8fb201,000068
ch_3R1ZXkDZFCHKRKiu3VrBbt1l,2025-03-11 20:36:53,30.64,0.00,usd,true,30.64,0.00,usd,,The Geni (magnet and tote bag) +1 more,1.19,,THE GENI,Paid,Payment complete.,0.00,pm_1R1ZXlDZFCHKRKiug8tNAcgz,cus_RfJgUpWnXFg9Vo,,kuleszka@comcast.net,,po_1R1dtKDZFCHKRKiu8WFQdor1,location,iKsPMfXHpb72ufGUuJLo,YnWfsV4avnxDJGt0pJOB,67d09ee20e30f60fce6e2074,,,,,,,,,,,,
ch_3R1XxzDZFCHKRKiu2XJGefNY,2025-03-11 18:55:53,21.24,0.00,usd,true,21.24,0.00,usd,,The Geni Magnet (no tote bag),0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1R1Xy0DZFCHKRKiuXR7aC6y5,cus_RvOldmmgxBIghI,,nkuleszka@gmail.com,,po_1R1dtKDZFCHKRKiu8WFQdor1,location,iKsPMfXHpb72ufGUuJLo,fBpFdvRF5u5qlVHcsXFT,67d08736462a866b76c87b1d,,,,,,,,,,,,
ch_3R0ATRDZFCHKRKiu0nrRBXLK,2025-03-07 23:39:50,21.24,0.00,usd,true,21.24,0.00,usd,,Payment for invoice 000054,0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1R0AUcDZFCHKRKiuuDxpwB2t,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1R0uw7DZFCHKRKiuiG40IjMv,,,,,709,17.5.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,cc350f90-7fa7-4ee9-b4c2-a5d600c949b6,iKsPMfXHpb72ufGUuJLo,,67cb837b76f1970c63696f77,000054
ch_3R0ARsDZFCHKRKiu0FEKkpQi,2025-03-07 23:37:55,21.24,0.00,usd,true,21.24,0.00,usd,,Payment for invoice 000053,0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1R0ASkDZFCHKRKiu56fLurSB,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1R0uw7DZFCHKRKiuiG40IjMv,,,,,709,17.5.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,cc350f90-7fa7-4ee9-b4c2-a5d600c949b6,iKsPMfXHpb72ufGUuJLo,,67cb831a76f1970ca8696f52,000053
ch_3R0AFzDZFCHKRKiu2lCgZtDr,2025-03-07 23:25:22,21.24,0.00,usd,true,21.24,0.00,usd,,Payment for invoice 000052,0.92,,THE GENI,Paid,Payment complete.,0.00,pm_1R0AGcDZFCHKRKiu5HgsMCp0,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1R0uw7DZFCHKRKiuiG40IjMv,,,,,709,17.5.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,cc350f90-7fa7-4ee9-b4c2-a5d600c949b6,iKsPMfXHpb72ufGUuJLo,,67cb803909ce44644070e6ef,000052
ch_3QzpDIDZFCHKRKiu3FFJVBvg,2025-03-07 00:56:33,21.83,0.00,usd,true,21.83,0.00,usd,,The Geni (magnet and tote bag),0.93,,THE GENI,Paid,Payment complete.,0.00,pm_1QzpDJDZFCHKRKiuAO3tiV8w,cus_RtcSGONuNS7qrB,,amy@abdesignelements.com,,po_1R0uw7DZFCHKRKiuiG40IjMv,location,iKsPMfXHpb72ufGUuJLo,6gGZVY1R8pqReIe4jOEc,67ca443dbe2135ea17e3691d,,,,,,,,,,,,
ch_3QzoT5DZFCHKRKiu3Ad2BU0y,2025-03-07 00:08:48,11.98,0.00,usd,true,11.98,0.00,usd,,The Geni Tote Bag,0.65,,THE GENI,Paid,Payment complete.,0.00,pm_1QzoT6DZFCHKRKiuQEQwevX7,cus_RtbgMTtEQleciI,,akuleszka@gmail.com,,po_1R0uw7DZFCHKRKiuiG40IjMv,location,iKsPMfXHpb72ufGUuJLo,qmPRgA4YthYinMORI3Pz,67ca390e1ebeef38cd4fdfe2,,,,,,,,,,,,
ch_3QzSsWDZFCHKRKiu3ahPpN1g,2025-03-06 01:06:21,42.48,0.00,usd,true,42.48,0.00,usd,,Payment for invoice 000046,1.53,,THE GENI,Paid,Payment complete.,0.00,pm_1QzStFDZFCHKRKiupaiiXjtX,cus_Rnsb6SaSaRB4A3,,auto.generated@pos.payment,,po_1R0YSyDZFCHKRKiuse3lwh8V,,,,,709,16.4.1,com.gohighlevel.reviews,iPhone,ios,XS2Kdy5ig2dFLR1cVhwB,3.92.1,2ade90f5-25e7-4d61-8711-87cbc0c8b912,iKsPMfXHpb72ufGUuJLo,,67c8f4de0bb4cc96bf73d7f5,000046
